"縣市","鄉鎮區","統計期","類別","基地臺"
"宜蘭縣","宜蘭縣三星鄉","1111130","4G","131"
"宜蘭縣","宜蘭縣大同鄉","1111130","4G","224"
"宜蘭縣","宜蘭縣五結鄉","1111130","4G","196"
"宜蘭縣","宜蘭縣冬山鄉","1111130","4G","259"
"宜蘭縣","宜蘭縣壯圍鄉","1111130","4G","90"
"宜蘭縣","宜蘭縣宜蘭市","1111130","4G","380"
"宜蘭縣","宜蘭縣南澳鄉","1111130","4G","240"
"宜蘭縣","宜蘭縣員山鄉","1111130","4G","193"
"宜蘭縣","宜蘭縣頭城鎮","1111130","4G","262"
"宜蘭縣","宜蘭縣礁溪鄉","1111130","4G","283"
"宜蘭縣","宜蘭縣羅東鎮","1111130","4G","212"
"宜蘭縣","宜蘭縣蘇澳鎮","1111130","4G","401"
"花蓮縣","花蓮縣玉里鎮","1111130","4G","206"
"花蓮縣","花蓮縣光復鄉","1111130","4G","121"
"花蓮縣","花蓮縣吉安鄉","1111130","4G","398"
"花蓮縣","花蓮縣秀林鄉","1111130","4G","431"
"花蓮縣","花蓮縣卓溪鄉","1111130","4G","65"
"花蓮縣","花蓮縣花蓮市","1111130","4G","551"
"花蓮縣","花蓮縣富里鄉","1111130","4G","150"
"花蓮縣","花蓮縣新城鄉","1111130","4G","221"
"花蓮縣","花蓮縣瑞穗鄉","1111130","4G","170"
"花蓮縣","花蓮縣萬榮鄉","1111130","4G","58"
"花蓮縣","花蓮縣壽豐鄉","1111130","4G","372"
"花蓮縣","花蓮縣鳳林鎮","1111130","4G","138"
"花蓮縣","花蓮縣豐濱鄉","1111130","4G","112"
"金門縣","金門縣金沙鎮","1111130","4G","104"
"金門縣","金門縣金城鎮","1111130","4G","123"
"金門縣","金門縣金湖鎮","1111130","4G","189"
"金門縣","金門縣金寧鄉","1111130","4G","160"
"金門縣","金門縣烈嶼鄉","1111130","4G","51"
"金門縣","金門縣烏坵鄉","1111130","4G","2"
"南投縣","南投縣中寮鄉","1111130","4G","161"
"南投縣","南投縣仁愛鄉","1111130","4G","312"
"南投縣","南投縣水里鄉","1111130","4G","127"
"南投縣","南投縣名間鄉","1111130","4G","228"
"南投縣","南投縣竹山鎮","1111130","4G","398"
"南投縣","南投縣信義鄉","1111130","4G","206"
"南投縣","南投縣南投市","1111130","4G","559"
"南投縣","南投縣埔里鎮","1111130","4G","524"
"南投縣","南投縣草屯鎮","1111130","4G","557"
"南投縣","南投縣國姓鄉","1111130","4G","207"
"南投縣","南投縣魚池鄉","1111130","4G","264"
"南投縣","南投縣鹿谷鄉","1111130","4G","202"
"南投縣","南投縣集集鎮","1111130","4G","95"
"屏東縣","屏東縣九如鄉","1111130","4G","91"
"屏東縣","屏東縣三地門鄉","1111130","4G","79"
"屏東縣","屏東縣內埔鄉","1111130","4G","288"
"屏東縣","屏東縣竹田鄉","1111130","4G","72"
"屏東縣","屏東縣牡丹鄉","1111130","4G","68"
"屏東縣","屏東縣車城鄉","1111130","4G","118"
"屏東縣","屏東縣里港鄉","1111130","4G","99"
"屏東縣","屏東縣佳冬鄉","1111130","4G","69"
"屏東縣","屏東縣來義鄉","1111130","4G","54"
"屏東縣","屏東縣枋山鄉","1111130","4G","76"
"屏東縣","屏東縣枋寮鄉","1111130","4G","126"
"屏東縣","屏東縣東港鎮","1111130","4G","221"
"屏東縣","屏東縣林邊鄉","1111130","4G","50"
"屏東縣","屏東縣長治鄉","1111130","4G","153"
"屏東縣","屏東縣南州鄉","1111130","4G","56"
"屏東縣","屏東縣屏東市","1111130","4G","819"
"屏東縣","屏東縣恆春鎮","1111130","4G","344"
